genre1,genre2,similarity,same_family,family
Hard Dance - Hardcore - Neo Rave,UK Garage - Bassline,0.7321428571428571,False,Hard Styles-Bass Music
Psy-Trance,Techno (Peak Time - Driving),0.7297297297297297,False,Trance-Techno
Breaks - Breakbeat - UK Bass,Electronica,0.7272727272727273,False,Breaks-Other
Afro House,Hard Techno,0.7256637168141593,False,House-Techno
Psy-Trance,Trance (Main Floor),0.7256637168141593,True,Trance
Afro House,Deep House,0.7256637168141593,True,House
Minimal - Deep Tech,Tech House,0.7192982456140351,False,Underground-House
Drum & Bass,House,0.7181818181818181,False,Bass Music-House
Drum & Bass,Nu Disco - Disco,0.7181818181818181,False,Bass Music-Underground
Dance - Pop,Trance (Main Floor),0.7168141592920354,False,Dance/Pop-Trance
Hard Techno,Trance (Main Floor),0.7168141592920354,False,Techno-Trance
Hard Dance - Hardcore - Neo Rave,House,0.7168141592920354,False,Hard Styles-House
Dance - Pop,Funky House,0.7168141592920354,False,Dance/Pop-House
Hard Dance - Hardcore - Neo Rave,Nu Disco - Disco,0.7168141592920354,False,Hard Styles-Underground
Deep House,Trance (Raw - Deep - Hypnotic),0.7142857142857143,False,House-Trance
House,UK Garage - Bassline,0.7142857142857143,False,House-Bass Music
House,Nu Disco - Disco,0.7142857142857143,False,House-Underground
Afro House,Bass House,0.7130434782608696,True,House
Drum & Bass,Jackin House,0.7117117117117117,False,Bass Music-House
Deep House,Melodic House & Techno,0.7117117117117117,False,House-Techno
Afro House,Nu Disco - Disco,0.7105263157894737,False,House-Underground
Jackin House,Trance (Main Floor),0.7105263157894737,False,House-Trance
Deep House,Jackin House,0.7079646017699115,True,House
Jackin House,UK Garage - Bassline,0.7079646017699115,False,House-Bass Music
Downtempo,House,0.7064220183486238,False,Underground-House
Electronica,UK Garage - Bassline,0.7053571428571429,False,Other-Bass Music
Minimal - Deep Tech,Techno (Raw - Deep - Hypnotic),0.7043478260869566,False,Underground-Techno
Drum & Bass,Hard Techno,0.7027027027027027,False,Bass Music-Techno
