genre1,genre2,similarity,category
Deep House,Jackin House,0.7079646017699115,medium
Jackin House,UK Garage - Bassline,0.7079646017699115,medium
Downtempo,House,0.7064220183486238,medium
Electronica,UK Garage - Bassline,0.7053571428571429,medium
Minimal - Deep Tech,Techno (Raw - Deep - Hypnotic),0.7043478260869566,medium
Drum & Bass,Hard Techno,0.7027027027027027,medium
Breaks - Breakbeat - UK Bass,Psy-Trance,0.6991150442477876,medium
Afro House,Funky House,0.6982758620689655,medium
Downtempo,Electronica,0.6972477064220184,medium
Breaks - Breakbeat - UK Bass,Techno (Peak Time - Driving),0.6964285714285714,medium
Mainstage,Techno (Peak Time - Driving),0.6964285714285714,medium
Drum & Bass,Electronica,0.6936936936936937,medium
Indie Dance,Psy-Trance,0.6929824561403509,medium
Jackin House,Nu Disco - Disco,0.6929824561403509,medium
Melodic House & Techno,Techno (Peak Time - Driving),0.6875,medium
Bass House,Deep House,0.6869565217391305,medium
Dance - Pop,House,0.6842105263157895,medium
Afro House,Trance (Main Floor),0.6837606837606838,medium
Minimal - Deep Tech,Progressive House,0.6814159292035398,medium
Downtempo,Minimal - Deep Tech,0.6785714285714286,medium
Electronica,Hard Dance - Hardcore - Neo Rave,0.6782608695652174,medium
Organic House,Techno (Raw - Deep - Hypnotic),0.6782608695652174,medium
Downtempo,Indie Dance,0.6756756756756757,medium
Downtempo,Nu Disco - Disco,0.6756756756756757,medium
Deep House,Organic House,0.6754385964912281,medium
Bass House,Hard Dance - Hardcore - Neo Rave,0.6752136752136753,medium
Afro House,Downtempo,0.672566371681416,medium
Deep House,Minimal - Deep Tech,0.6724137931034483,medium
Electro (Classic - Detroit - Modern),Minimal - Deep Tech,0.6724137931034483,medium
Hard Techno,House,0.6695652173913044,medium
Funky House,Psy-Trance,0.6666666666666666,medium
Drum & Bass,Mainstage,0.6637168141592921,medium
Hard Dance - Hardcore - Neo Rave,Trance (Main Floor),0.6610169491525424,medium
Breaks - Breakbeat - UK Bass,Trance (Raw - Deep - Hypnotic),0.6608695652173913,medium
Dance - Pop,Techno (Peak Time - Driving),0.6608695652173913,medium
Deep House,Electronica,0.6608695652173913,medium
Deep House,Mainstage,0.6608695652173913,medium
Electronica,Hard Techno,0.6608695652173913,medium
Hard Techno,Techno (Peak Time - Driving),0.6608695652173913,medium
Mainstage,UK Garage - Bassline,0.6608695652173913,medium
Afro House,Drum & Bass,0.6551724137931034,medium
Dance - Pop,Nu Disco - Disco,0.6551724137931034,medium
Jackin House,Techno (Peak Time - Driving),0.6551724137931034,medium
Nu Disco - Disco,UK Garage - Bassline,0.6551724137931034,medium
Breaks - Breakbeat - UK Bass,Progressive House,0.6548672566371682,medium
Afro House,UK Garage - Bassline,0.652542372881356,medium
Melodic House & Techno,Nu Disco - Disco,0.6521739130434783,medium
Breaks - Breakbeat - UK Bass,Tech House,0.6495726495726496,moderate
Electro (Classic - Detroit - Modern),Organic House,0.646551724137931,moderate
Mainstage,Nu Disco - Disco,0.646551724137931,moderate
Melodic House & Techno,Psy-Trance,0.646551724137931,moderate
Minimal - Deep Tech,Trance (Raw - Deep - Hypnotic),0.6440677966101694,moderate
Downtempo,Melodic House & Techno,0.6428571428571429,moderate
Dance - Pop,Deep House,0.6410256410256411,moderate
House,Indie Dance,0.6410256410256411,moderate
Organic House,Psy-Trance,0.6410256410256411,moderate
Downtempo,Progressive House,0.6396396396396397,moderate
Downtempo,Organic House,0.6371681415929203,moderate
Bass House,House,0.6302521008403361,moderate
Deep House,Trance (Main Floor),0.6302521008403361,moderate
Funky House,House,0.6302521008403361,moderate
House,Tech House,0.6302521008403361,moderate
Dance - Pop,Drum & Bass,0.6293103448275862,moderate
Ambient - Experimental,DJ Tools,0.6283185840707964,moderate
Afro House,Tech House,0.628099173553719,moderate
Dance - Pop,UK Garage - Bassline,0.6271186440677966,moderate
Deep House,Hard Techno,0.6271186440677966,moderate
Melodic House & Techno,Tech House,0.6271186440677966,moderate
Drum & Bass,Melodic House & Techno,0.6260869565217392,moderate
Melodic House & Techno,Trance (Raw - Deep - Hypnotic),0.6239316239316239,moderate
Melodic House & Techno,UK Garage - Bassline,0.6239316239316239,moderate
Breaks - Breakbeat - UK Bass,Downtempo,0.6228070175438597,moderate
Hard Dance - Hardcore - Neo Rave,Techno (Peak Time - Driving),0.6218487394957983,moderate
Breaks - Breakbeat - UK Bass,Drum & Bass,0.6206896551724138,moderate
House,Progressive House,0.6206896551724138,moderate
Breaks - Breakbeat - UK Bass,Indie Dance,0.6186440677966102,moderate
Breaks - Breakbeat - UK Bass,UK Garage - Bassline,0.6186440677966102,moderate
Drum & Bass,Funky House,0.6186440677966102,moderate
Afro House,Techno (Peak Time - Driving),0.6166666666666667,moderate
Deep House,Hard Dance - Hardcore - Neo Rave,0.6166666666666667,moderate
Funky House,UK Garage - Bassline,0.6166666666666667,moderate
Jackin House,Psy-Trance,0.6166666666666667,moderate
Mainstage,Psy-Trance,0.6134453781512605,moderate
Jackin House,Tech House,0.6115702479338843,moderate
Bass - Club,Electro (Classic - Detroit - Modern),0.6083333333333333,moderate
Bass House,Electronica,0.6083333333333333,moderate
Electronica,Funky House,0.6083333333333333,moderate
Downtempo,Tech House,0.6068376068376068,moderate
Afro House,Psy-Trance,0.6065573770491803,moderate
Afro House,Progressive House,0.6050420168067226,moderate
Breaks - Breakbeat - UK Bass,Nu Disco - Disco,0.6050420168067226,moderate
Melodic House & Techno,Progressive House,0.603448275862069,moderate
Bass House,Trance (Raw - Deep - Hypnotic),0.6033057851239669,moderate
Deep House,Funky House,0.6033057851239669,moderate
House,Trance (Main Floor),0.6033057851239669,moderate
Bass - Club,Minimal - Deep Tech,0.5983606557377049,moderate
House,Psy-Trance,0.5950413223140496,moderate
Jackin House,Trance (Raw - Deep - Hypnotic),0.5950413223140496,moderate
Bass House,Tech House,0.5934959349593496,moderate
Deep House,Techno (Peak Time - Driving),0.5916666666666667,moderate
Techno (Peak Time - Driving),Trance (Raw - Deep - Hypnotic),0.5916666666666667,moderate
Indie Dance,Techno (Raw - Deep - Hypnotic),0.5901639344262295,moderate
Jackin House,Progressive House,0.5882352941176471,moderate
Afro House,Trance (Raw - Deep - Hypnotic),0.5853658536585366,moderate
Downtempo,Jackin House,0.5847457627118644,moderate
Downtempo,Psy-Trance,0.5847457627118644,moderate
Dance - Pop,Psy-Trance,0.5819672131147541,moderate
Electronica,Trance (Main Floor),0.5819672131147541,moderate
Hard Techno,Psy-Trance,0.5819672131147541,moderate
Tech House,Techno (Peak Time - Driving),0.5819672131147541,moderate
Downtempo,Mainstage,0.5811965811965812,moderate
House,Organic House,0.5785123966942148,moderate
Mainstage,Trance (Raw - Deep - Hypnotic),0.5785123966942148,moderate
Trance (Main Floor),Trance (Raw - Deep - Hypnotic),0.5772357723577236,moderate
Electro (Classic - Detroit - Modern),Indie Dance,0.5737704918032787,moderate
House,Trance (Raw - Deep - Hypnotic),0.5737704918032787,moderate
Afro House,Indie Dance,0.5725806451612904,moderate
Bass House,Progressive House,0.5702479338842975,moderate
Indie Dance,Melodic House & Techno,0.5702479338842975,moderate
Mainstage,Tech House,0.5691056910569106,moderate
Tech House,Techno (Raw - Deep - Hypnotic),0.568,moderate
Downtempo,Trance (Raw - Deep - Hypnotic),0.5630252100840336,moderate
Dance - Pop,Trance (Raw - Deep - Hypnotic),0.5609756097560976,moderate
Hard Techno,Nu Disco - Disco,0.5609756097560976,moderate
Bass - Club,Downtempo,0.5583333333333333,moderate
Progressive House,Techno (Peak Time - Driving),0.5583333333333333,moderate
Progressive House,Techno (Raw - Deep - Hypnotic),0.5573770491803278,moderate
Progressive House,Trance (Main Floor),0.5573770491803278,moderate
Bass - Club,Deep House,0.5564516129032258,moderate
Bass - Club,Indie Dance,0.5564516129032258,moderate
Indie Dance,Jackin House,0.5564516129032258,moderate
Electronica,Indie Dance,0.5528455284552846,moderate
Dance - Pop,Tech House,0.552,moderate
House,Minimal - Deep Tech,0.552,moderate
Dance - Pop,Downtempo,0.55,moderate
Deep House,Drum & Bass,0.5491803278688525,moderate
Deep House,Nu Disco - Disco,0.5483870967741935,moderate
Deep House,UK Garage - Bassline,0.5483870967741935,moderate
Hard Techno,Trance (Raw - Deep - Hypnotic),0.5483870967741935,moderate
Bass - Club,Techno (Raw - Deep - Hypnotic),0.5476190476190477,moderate
Hard Dance - Hardcore - Neo Rave,Psy-Trance,0.5476190476190477,moderate
Mainstage,Progressive House,0.5454545454545454,moderate
Electronica,Tech House,0.544,moderate
Hard Dance - Hardcore - Neo Rave,Tech House,0.5433070866141733,moderate
Tech House,Trance (Main Floor),0.5433070866141733,moderate
Bass House,Drum & Bass,0.5403225806451613,moderate
House,Techno (Peak Time - Driving),0.5403225806451613,moderate
Bass House,Indie Dance,0.5396825396825397,moderate
Bass House,UK Garage - Bassline,0.5396825396825397,moderate
Funky House,Trance (Raw - Deep - Hypnotic),0.5396825396825397,moderate
Hard Techno,Tech House,0.5396825396825397,moderate
Techno (Raw - Deep - Hypnotic),Trance (Raw - Deep - Hypnotic),0.5396825396825397,moderate
Minimal - Deep Tech,Psy-Trance,0.5354330708661418,moderate
Electronica,Progressive House,0.5327868852459017,moderate
Breaks - Breakbeat - UK Bass,Organic House,0.532258064516129,moderate
Amapiano,Electronica,0.5317460317460317,moderate
Funky House,Tech House,0.53125,moderate
Dance - Pop,Progressive House,0.5284552845528455,moderate
Downtempo,Trance (Main Floor),0.5284552845528455,moderate
Drum & Bass,Trance (Main Floor),0.528,moderate
Indie Dance,Techno (Peak Time - Driving),0.528,moderate
Bass House,Nu Disco - Disco,0.5275590551181102,moderate
Funky House,Nu Disco - Disco,0.5275590551181102,moderate
Hard Dance - Hardcore - Neo Rave,Trance (Raw - Deep - Hypnotic),0.5275590551181102,moderate
Trance (Main Floor),UK Garage - Bassline,0.5275590551181102,moderate
Bass - Club,Progressive House,0.5241935483870968,moderate
Bass - Club,Organic House,0.5238095238095238,moderate
Electronica,Organic House,0.52,moderate
Electronica,Techno (Peak Time - Driving),0.52,moderate
Hard Dance - Hardcore - Neo Rave,Progressive House,0.52,moderate
Bass - Club,House,0.5196850393700787,moderate
Breaks - Breakbeat - UK Bass,Minimal - Deep Tech,0.5196850393700787,moderate
Bass House,Downtempo,0.5161290322580645,moderate
Electro (Classic - Detroit - Modern),Progressive House,0.5161290322580645,moderate
Hard Techno,Progressive House,0.5161290322580645,moderate
Indie Dance,Mainstage,0.5158730158730159,moderate
Amapiano,Nu Disco - Disco,0.515625,moderate
Electro (Classic - Detroit - Modern),Tech House,0.515625,moderate
Indie Dance,Trance (Main Floor),0.515625,moderate
Nu Disco - Disco,Trance (Main Floor),0.515625,moderate
Downtempo,Hard Techno,0.5121951219512195,moderate
Electronica,Psy-Trance,0.5118110236220472,moderate
Bass - Club,Tech House,0.5116279069767442,moderate
Funky House,Progressive House,0.5079365079365079,moderate
Downtempo,Hard Dance - Hardcore - Neo Rave,0.504,moderate
Afro House,Organic House,0.5038759689922481,moderate
