genre1,genre2,co_clustering,acoustic_similarity,phantom_score,category
House,Psy-Trance,0.5950413223140496,-0.4408666255781042,0.07708734836797271,weak
Electronica,Tech House,0.544,-0.39239494054067836,0.07580252972966084,weak
Bass House,Progressive House,0.5702479338842975,-0.421353706512007,0.07444711368614526,weak
Deep House,Drum & Bass,0.5491803278688525,-0.4047762139799973,0.0722020569444276,weak
Deep House,Mainstage,0.6608695652173913,-0.5345323160957873,0.06316862456080197,moderate
Breaks - Breakbeat - UK Bass,Organic House,0.532258064516129,-0.4321752896742481,0.05004138742094044,weak
Deep House,Hard Dance - Hardcore - Neo Rave,0.6166666666666667,-0.5283869173127893,0.044139874676938695,moderate
Tech House,Trance (Main Floor),0.5433070866141733,-0.47333806582979143,0.034984510392190915,weak
Downtempo,Trance (Main Floor),0.5284552845528455,-0.46564589880776897,0.031404692872538276,weak
Trance (Main Floor),UK Garage - Bassline,0.5275590551181102,-0.5104493121043194,0.008554871506895378,weak
