genre1,genre2,co_clustering,centroid_distance,min_distance,overlap_ratio,n_tracks_g1,n_tracks_g2
140 - Deep Dubstep - Grime,Afro House,0.0,12.92610641376309,5.647636335488291,1.4034065909409548,95,99
140 - Deep Dubstep - Grime,Amapiano,0.1665460056833609,8.689919070904953,7.716330933421283,1.3260260098411463,95,98
140 - Deep Dubstep - Grime,Ambient - Experimental,0.0233957400794809,15.046189015673258,6.046600459165775,1.450332307918702,95,97
140 - Deep Dubstep - Grime,Bass - Club,0.4150087618472395,23.95438270507326,5.428636729226671,1.192727640015875,95,97
140 - Deep Dubstep - Grime,Bass House,0.2876520047947949,11.741235586519105,5.471281775858708,1.3491584404214376,95,98
140 - Deep Dubstep - Grime,Breaks - Breakbeat - UK Bass,0.4786392298762403,12.179890701887494,5.037181312173408,1.1792231736519458,95,95
140 - Deep Dubstep - Grime,DJ Tools,0.2353586981489794,18.64290374637405,8.509630695976153,2.1149358091608024,95,87
140 - Deep Dubstep - Grime,Dance - Pop,0.0,9.698606615667437,5.543076604598994,1.3837590406596338,95,96
140 - Deep Dubstep - Grime,Deep House,0.0,19.908441733573433,5.446779710790026,1.3836646499014993,95,96
140 - Deep Dubstep - Grime,Downtempo,0.0,21.296537847055255,8.022637990995108,1.5519078987654058,95,90
140 - Deep Dubstep - Grime,Drum & Bass,0.4476402819082605,8.668187127997129,5.917169923153118,1.4941445696405369,95,93
140 - Deep Dubstep - Grime,Dubstep,0.569722356830116,11.168371199850156,5.457328179129707,1.4871588459003655,95,96
140 - Deep Dubstep - Grime,Electro (Classic - Detroit - Modern),0.1723334605236877,37.10502102611206,6.080699355419245,1.3397561779451022,95,96
140 - Deep Dubstep - Grime,Electronica,0.0,11.411227612450817,5.303855204727167,1.2296007054314744,95,95
140 - Deep Dubstep - Grime,Funky House,0.0,12.825779147558789,6.435917730624267,1.4396991247378548,95,98
140 - Deep Dubstep - Grime,Hard Dance - Hardcore - Neo Rave,0.0,11.20063399332224,5.626791610776994,1.5022860688270299,95,98
140 - Deep Dubstep - Grime,Hard Techno,0.0,13.946030007361054,7.264187745793883,1.659561595229583,95,96
140 - Deep Dubstep - Grime,House,0.0,15.200493705086517,5.366307385476583,1.3850975597692026,95,96
140 - Deep Dubstep - Grime,Indie Dance,0.0,26.991530402458945,5.570774081406201,1.3965536215056993,95,96
